"","ID","Income.Group"
"281",32842,"<=50K"
"282",32843,"<=50K"
"283",32844,"<=50K"
"284",32845,"<=50K"
"285",32846,">50K"
"286",32847,"<=50K"
"287",32848,"<=50K"
"288",32849,">50K"
"289",32850,"<=50K"
"290",32851,"<=50K"
"291",32852,"<=50K"
"292",32853,"<=50K"
"293",32854,"<=50K"
"294",32855,"<=50K"
"295",32856,"<=50K"
"296",32857,"<=50K"
"297",32858,"<=50K"
"298",32859,"<=50K"
"299",32860,"<=50K"
"300",32861,"<=50K"
"301",32862,"<=50K"
"302",32863,"<=50K"
"303",32864,"<=50K"
"304",32865,"<=50K"
"305",32866,"<=50K"
"306",32867,"<=50K"
"307",32868,"<=50K"
"308",32869,"<=50K"
"309",32870,">50K"
"310",32871,"<=50K"
"311",32872,">50K"
"312",32873,"<=50K"
"313",32874,"<=50K"
"314",32875,"<=50K"
"315",32876,"<=50K"
"316",32877,"<=50K"
"317",32878,"<=50K"
"318",32879,"<=50K"
"319",32880,">50K"
"320",32881,"<=50K"
"321",32882,"<=50K"
"322",32883,">50K"
"323",32884,"<=50K"
"324",32885,"<=50K"
"325",32886,"<=50K"
"326",32887,">50K"
"327",32888,"<=50K"
"328",32889,"<=50K"
"329",32890,"<=50K"
"330",32891,">50K"
"331",32892,"<=50K"
"332",32893,"<=50K"
"333",32894,"<=50K"
"334",32895,"<=50K"
"335",32896,">50K"
"336",32897,"<=50K"
"337",32898,"<=50K"
"338",32899,"<=50K"
"339",32900,"<=50K"
"340",32901,"<=50K"
"341",32902,"<=50K"
"342",32903,"<=50K"
"343",32904,"<=50K"
"344",32905,">50K"
"345",32906,"<=50K"
"346",32907,"<=50K"
"347",32908,"<=50K"
"348",32909,"<=50K"
"349",32910,"<=50K"
"350",32911,"<=50K"
"351",32912,"<=50K"
"352",32913,"<=50K"
"353",32914,"<=50K"
"354",32915,"<=50K"
"355",32916,"<=50K"
"356",32917,">50K"
"357",32918,"<=50K"
"358",32919,">50K"
"359",32920,"<=50K"
"360",32921,"<=50K"
"361",32922,"<=50K"
"362",32923,"<=50K"
"363",32924,"<=50K"
"364",32925,"<=50K"
"365",32926,"<=50K"
"366",32927,">50K"
"367",32928,">50K"
"368",32929,">50K"
"369",32930,">50K"
"370",32931,"<=50K"
"371",32932,"<=50K"
"372",32933,"<=50K"
"373",32934,"<=50K"
"374",32935,">50K"
"375",32936,"<=50K"
"376",32937,"<=50K"
"377",32938,">50K"
"378",32939,"<=50K"
"379",32940,"<=50K"
"380",32941,"<=50K"
"381",32942,"<=50K"
"382",32943,"<=50K"
"383",32944,">50K"
"384",32945,"<=50K"
"385",32946,"<=50K"
"386",32947,"<=50K"
"387",32948,"<=50K"
"388",32949,"<=50K"
"389",32950,"<=50K"
"390",32951,"<=50K"
"391",32952,"<=50K"
"392",32953,"<=50K"
"393",32954,"<=50K"
"394",32955,"<=50K"
"395",32956,"<=50K"
"396",32957,"<=50K"
"397",32958,">50K"
"398",32959,"<=50K"
"399",32960,">50K"
"400",32961,">50K"
"401",32962,"<=50K"
"402",32963,"<=50K"
"403",32964,"<=50K"
"404",32965,"<=50K"
"405",32966,"<=50K"
"406",32967,"<=50K"
"407",32968,"<=50K"
"408",32969,"<=50K"
"409",32970,"<=50K"
"410",32971,">50K"
"411",32972,"<=50K"
"412",32973,"<=50K"
"413",32974,"<=50K"
"414",32975,"<=50K"
"415",32976,"<=50K"
"416",32977,"<=50K"
"417",32978,"<=50K"
"418",32979,"<=50K"
"419",32980,">50K"
"420",32981,"<=50K"
"421",32982,"<=50K"
"422",32983,"<=50K"
"423",32984,"<=50K"
"424",32985,"<=50K"
"425",32986,"<=50K"
"426",32987,"<=50K"
"427",32988,"<=50K"
"428",32989,"<=50K"
"429",32990,"<=50K"
"430",32991,"<=50K"
"431",32992,"<=50K"
"432",32993,"<=50K"
"433",32994,"<=50K"
"434",32995,"<=50K"
"435",32996,"<=50K"
"436",32997,">50K"
"437",32998,">50K"
"438",32999,"<=50K"
"439",33000,"<=50K"
"440",33001,">50K"
"441",33002,"<=50K"
"442",33003,">50K"
"443",33004,"<=50K"
"444",33005,"<=50K"
"445",33006,"<=50K"
"446",33007,">50K"
"447",33008,">50K"
"448",33009,"<=50K"
"449",33010,"<=50K"
"450",33011,"<=50K"
"451",33012,"<=50K"
"452",33013,"<=50K"
"453",33014,">50K"
"454",33015,"<=50K"
"455",33016,"<=50K"
"456",33017,"<=50K"
"457",33018,"<=50K"
"458",33019,">50K"
"459",33020,"<=50K"
"460",33021,"<=50K"
"461",33022,"<=50K"
"462",33023,"<=50K"
"463",33024,">50K"
"464",33025,"<=50K"
"465",33026,"<=50K"
"466",33027,"<=50K"
"467",33028,">50K"
"468",33029,"<=50K"
"469",33030,"<=50K"
"470",33031,"<=50K"
"471",33032,"<=50K"
"472",33033,"<=50K"
"473",33034,"<=50K"
"474",33035,"<=50K"
"475",33036,"<=50K"
"476",33037,"<=50K"
"477",33038,"<=50K"
"478",33039,"<=50K"
"479",33040,"<=50K"
"480",33041,"<=50K"
"481",33042,">50K"
"482",33043,"<=50K"
"483",33044,"<=50K"
"484",33045,"<=50K"
"485",33046,"<=50K"
"486",33047,"<=50K"
"487",33048,"<=50K"
"488",33049,"<=50K"
"489",33050,"<=50K"
"490",33051,"<=50K"
"491",33052,"<=50K"
"492",33053,"<=50K"
"493",33054,"<=50K"
"494",33055,"<=50K"
"495",33056,"<=50K"
"496",33057,">50K"
"497",33058,"<=50K"
"498",33059,"<=50K"
"499",33060,"<=50K"
"500",33061,"<=50K"
"501",33062,"<=50K"
"502",33063,"<=50K"
"503",33064,">50K"
"504",33065,"<=50K"
"505",33066,"<=50K"
"506",33067,"<=50K"
"507",33068,"<=50K"
"508",33069,">50K"
"509",33070,"<=50K"
"510",33071,"<=50K"
"511",33072,"<=50K"
"512",33073,"<=50K"
"513",33074,"<=50K"
"514",33075,"<=50K"
"515",33076,"<=50K"
"516",33077,"<=50K"
"517",33078,"<=50K"
"518",33079,"<=50K"
"519",33080,">50K"
"520",33081,"<=50K"
"521",33082,"<=50K"
"522",33083,"<=50K"
"523",33084,">50K"
"524",33085,"<=50K"
"525",33086,">50K"
"526",33087,"<=50K"
"527",33088,">50K"
"528",33089,"<=50K"
"529",33090,"<=50K"
"530",33091,">50K"
"531",33092,"<=50K"
"532",33093,"<=50K"
"533",33094,"<=50K"
"534",33095,"<=50K"
"535",33096,"<=50K"
"536",33097,">50K"
"537",33098,"<=50K"
"538",33099,"<=50K"
"539",33100,"<=50K"
"540",33101,"<=50K"
"541",33102,"<=50K"
"542",33103,">50K"
"543",33104,"<=50K"
"544",33105,"<=50K"
"545",33106,">50K"
"546",33107,">50K"
"547",33108,">50K"
"548",33109,"<=50K"
"549",33110,"<=50K"
"550",33111,"<=50K"
"551",33112,"<=50K"
"552",33113,"<=50K"
"553",33114,">50K"
"554",33115,"<=50K"
"555",33116,"<=50K"
"556",33117,">50K"
"557",33118,">50K"
"558",33119,">50K"
"559",33120,">50K"
"560",33121,"<=50K"
"561",33122,"<=50K"
"562",33123,"<=50K"
"563",33124,">50K"
"564",33125,"<=50K"
"565",33126,"<=50K"
"566",33127,"<=50K"
"567",33128,"<=50K"
"568",33129,"<=50K"
"569",33130,"<=50K"
"570",33131,"<=50K"
"571",33132,">50K"
"572",33133,"<=50K"
"573",33134,"<=50K"
"574",33135,"<=50K"
"575",33136,">50K"
"576",33137,"<=50K"
"577",33138,"<=50K"
"578",33139,"<=50K"
"579",33140,">50K"
"580",33141,"<=50K"
"581",33142,"<=50K"
"582",33143,">50K"
"583",33144,"<=50K"
"584",33145,"<=50K"
"585",33146,"<=50K"
"586",33147,"<=50K"
"587",33148,"<=50K"
"588",33149,">50K"
"589",33150,"<=50K"
"590",33151,"<=50K"
"591",33152,"<=50K"
"592",33153,"<=50K"
"593",33154,"<=50K"
"594",33155,"<=50K"
"595",33156,">50K"
"596",33157,"<=50K"
"597",33158,"<=50K"
"598",33159,">50K"
"599",33160,"<=50K"
"600",33161,"<=50K"
"601",33162,"<=50K"
"602",33163,"<=50K"
"603",33164,"<=50K"
"604",33165,">50K"
"605",33166,"<=50K"
"606",33167,"<=50K"
"607",33168,"<=50K"
"608",33169,"<=50K"
"609",33170,"<=50K"
"610",33171,"<=50K"
"611",33172,"<=50K"
"612",33173,">50K"
"613",33174,"<=50K"
"614",33175,"<=50K"
"615",33176,"<=50K"
"616",33177,"<=50K"
"617",33178,"<=50K"
"618",33179,"<=50K"
"619",33180,"<=50K"
"620",33181,">50K"
"621",33182,"<=50K"
"622",33183,"<=50K"
"623",33184,"<=50K"
"624",33185,"<=50K"
"625",33186,"<=50K"
"626",33187,">50K"
"627",33188,">50K"
"628",33189,">50K"
"629",33190,"<=50K"
"630",33191,"<=50K"
"631",33192,"<=50K"
"632",33193,"<=50K"
"633",33194,"<=50K"
"634",33195,"<=50K"
"635",33196,"<=50K"
"636",33197,">50K"
"637",33198,"<=50K"
"638",33199,"<=50K"
"639",33200,"<=50K"
"640",33201,"<=50K"
"641",33202,"<=50K"
"642",33203,"<=50K"
"643",33204,">50K"
"644",33205,">50K"
"645",33206,"<=50K"
"646",33207,"<=50K"
"647",33208,"<=50K"
"648",33209,">50K"
"649",33210,"<=50K"
"650",33211,"<=50K"
"651",33212,"<=50K"
"652",33213,"<=50K"
"653",33214,"<=50K"
"654",33215,"<=50K"
"655",33216,">50K"
"656",33217,"<=50K"
"657",33218,">50K"
"658",33219,"<=50K"
"659",33220,"<=50K"
"660",33221,"<=50K"
"661",33222,">50K"
"662",33223,"<=50K"
"663",33224,"<=50K"
"664",33225,"<=50K"
"665",33226,"<=50K"
"666",33227,"<=50K"
"667",33228,"<=50K"
"668",33229,"<=50K"
"669",33230,"<=50K"
"670",33231,"<=50K"
"671",33232,"<=50K"
"672",33233,"<=50K"
"673",33234,"<=50K"
"674",33235,">50K"
"675",33236,"<=50K"
"676",33237,"<=50K"
"677",33238,"<=50K"
"678",33239,"<=50K"
"679",33240,"<=50K"
"680",33241,">50K"
"681",33242,"<=50K"
"682",33243,"<=50K"
"683",33244,"<=50K"
"684",33245,"<=50K"
"685",33246,"<=50K"
"686",33247,"<=50K"
"687",33248,">50K"
"688",33249,"<=50K"
"689",33250,"<=50K"
"690",33251,"<=50K"
"691",33252,">50K"
"692",33253,"<=50K"
"693",33254,">50K"
"694",33255,"<=50K"
"695",33256,"<=50K"
"696",33257,"<=50K"
"697",33258,"<=50K"
"698",33259,"<=50K"
"699",33260,">50K"
"700",33261,">50K"
"701",33262,"<=50K"
"702",33263,">50K"
"703",33264,"<=50K"
"704",33265,"<=50K"
"705",33266,"<=50K"
"706",33267,"<=50K"
"707",33268,">50K"
"708",33269,"<=50K"
"709",33270,">50K"
"710",33271,">50K"
"711",33272,"<=50K"
"712",33273,"<=50K"
"713",33274,"<=50K"
"714",33275,"<=50K"
"715",33276,"<=50K"
"716",33277,"<=50K"
"717",33278,"<=50K"
"718",33279,"<=50K"
"719",33280,">50K"
"720",33281,">50K"
"721",33282,"<=50K"
"722",33283,">50K"
"723",33284,"<=50K"
"724",33285,"<=50K"
"725",33286,"<=50K"
"726",33287,"<=50K"
"727",33288,">50K"
"728",33289,"<=50K"
"729",33290,"<=50K"
"730",33291,"<=50K"
"731",33292,"<=50K"
"732",33293,"<=50K"
"733",33294,">50K"
"734",33295,"<=50K"
"735",33296,"<=50K"
"736",33297,"<=50K"
"737",33298,"<=50K"
"738",33299,"<=50K"
"739",33300,"<=50K"
"740",33301,"<=50K"
"741",33302,"<=50K"
"742",33303,"<=50K"
"743",33304,"<=50K"
"744",33305,"<=50K"
"745",33306,"<=50K"
"746",33307,"<=50K"
"747",33308,"<=50K"
"748",33309,"<=50K"
"749",33310,">50K"
"750",33311,"<=50K"
"751",33312,">50K"
"752",33313,">50K"
"753",33314,"<=50K"
"754",33315,"<=50K"
"755",33316,"<=50K"
"756",33317,"<=50K"
"757",33318,"<=50K"
"758",33319,"<=50K"
"759",33320,"<=50K"
"760",33321,"<=50K"
"761",33322,"<=50K"
"762",33323,"<=50K"
"763",33324,"<=50K"
"764",33325,"<=50K"
"765",33326,"<=50K"
"766",33327,"<=50K"
"767",33328,"<=50K"
"768",33329,"<=50K"
"769",33330,"<=50K"
"770",33331,">50K"
"771",33332,"<=50K"
"772",33333,"<=50K"
"773",33334,"<=50K"
"774",33335,"<=50K"
"775",33336,"<=50K"
"776",33337,">50K"
"777",33338,">50K"
"778",33339,"<=50K"
"779",33340,"<=50K"
"780",33341,"<=50K"
"781",33342,"<=50K"
"782",33343,"<=50K"
"783",33344,"<=50K"
"784",33345,"<=50K"
"785",33346,"<=50K"
"786",33347,">50K"
"787",33348,"<=50K"
"788",33349,"<=50K"
"789",33350,"<=50K"
"790",33351,"<=50K"
"791",33352,"<=50K"
"792",33353,"<=50K"
"793",33354,"<=50K"
"794",33355,"<=50K"
"795",33356,"<=50K"
"796",33357,">50K"
"797",33358,"<=50K"
"798",33359,">50K"
"799",33360,"<=50K"
"800",33361,">50K"
"801",33362,"<=50K"
"802",33363,"<=50K"
"803",33364,"<=50K"
"804",33365,"<=50K"
"805",33366,"<=50K"
"806",33367,"<=50K"
"807",33368,"<=50K"
"808",33369,">50K"
"809",33370,"<=50K"
"810",33371,"<=50K"
"811",33372,"<=50K"
"812",33373,"<=50K"
"813",33374,"<=50K"
"814",33375,"<=50K"
"815",33376,"<=50K"
"816",33377,">50K"
"817",33378,"<=50K"
"818",33379,"<=50K"
"819",33380,"<=50K"
"820",33381,"<=50K"
"821",33382,"<=50K"
"822",33383,"<=50K"
"823",33384,"<=50K"
"824",33385,"<=50K"
"825",33386,"<=50K"
"826",33387,"<=50K"
"827",33388,"<=50K"
"828",33389,"<=50K"
"829",33390,"<=50K"
"830",33391,">50K"
"831",33392,"<=50K"
"832",33393,"<=50K"
"833",33394,"<=50K"
"834",33395,"<=50K"
"835",33396,"<=50K"
"836",33397,"<=50K"
"837",33398,"<=50K"
"838",33399,"<=50K"
"839",33400,"<=50K"
"840",33401,"<=50K"
"841",33402,"<=50K"
"842",33403,"<=50K"
"843",33404,"<=50K"
"844",33405,">50K"
"845",33406,"<=50K"
"846",33407,"<=50K"
"847",33408,">50K"
"848",33409,">50K"
"849",33410,">50K"
"850",33411,"<=50K"
"851",33412,"<=50K"
"852",33413,">50K"
"853",33414,"<=50K"
"854",33415,"<=50K"
"855",33416,"<=50K"
"856",33417,"<=50K"
"857",33418,"<=50K"
"858",33419,"<=50K"
"859",33420,">50K"
"860",33421,"<=50K"
"861",33422,"<=50K"
"862",33423,"<=50K"
"863",33424,"<=50K"
"864",33425,"<=50K"
"865",33426,"<=50K"
"866",33427,"<=50K"
"867",33428,">50K"
"868",33429,"<=50K"
"869",33430,">50K"
"870",33431,"<=50K"
"871",33432,"<=50K"
"872",33433,"<=50K"
"873",33434,">50K"
"874",33435,"<=50K"
"875",33436,"<=50K"
"876",33437,"<=50K"
"877",33438,"<=50K"
"878",33439,"<=50K"
"879",33440,">50K"
"880",33441,">50K"
"881",33442,"<=50K"
"882",33443,"<=50K"
"883",33444,">50K"
"884",33445,"<=50K"
"885",33446,"<=50K"
"886",33447,">50K"
"887",33448,"<=50K"
"888",33449,">50K"
"889",33450,"<=50K"
"890",33451,">50K"
"891",33452,"<=50K"
"892",33453,"<=50K"
"893",33454,"<=50K"
"894",33455,"<=50K"
"895",33456,"<=50K"
"896",33457,"<=50K"
"897",33458,"<=50K"
"898",33459,"<=50K"
"899",33460,"<=50K"
"900",33461,">50K"
"901",33462,"<=50K"
"902",33463,"<=50K"
"903",33464,"<=50K"
"904",33465,"<=50K"
"905",33466,"<=50K"
"906",33467,">50K"
"907",33468,"<=50K"
"908",33469,"<=50K"
"909",33470,">50K"
"910",33471,"<=50K"
"911",33472,"<=50K"
"912",33473,"<=50K"
"913",33474,"<=50K"
"914",33475,"<=50K"
"915",33476,">50K"
"916",33477,"<=50K"
"917",33478,"<=50K"
"918",33479,"<=50K"
"919",33480,"<=50K"
"920",33481,"<=50K"
"921",33482,">50K"
"922",33483,">50K"
"923",33484,">50K"
"924",33485,">50K"
"925",33486,"<=50K"
"926",33487,"<=50K"
"927",33488,"<=50K"
"928",33489,"<=50K"
"929",33490,"<=50K"
"930",33491,"<=50K"
"931",33492,"<=50K"
"932",33493,">50K"
"933",33494,"<=50K"
"934",33495,"<=50K"
"935",33496,"<=50K"
"936",33497,">50K"
"937",33498,"<=50K"
"938",33499,">50K"
"939",33500,"<=50K"
"940",33501,"<=50K"
"941",33502,"<=50K"
"942",33503,">50K"
"943",33504,"<=50K"
"944",33505,">50K"
"945",33506,"<=50K"
"946",33507,">50K"
"947",33508,"<=50K"
"948",33509,"<=50K"
"949",33510,"<=50K"
"950",33511,"<=50K"
"951",33512,"<=50K"
"952",33513,"<=50K"
"953",33514,"<=50K"
"954",33515,"<=50K"
"955",33516,">50K"
"956",33517,"<=50K"
"957",33518,"<=50K"
"958",33519,"<=50K"
"959",33520,"<=50K"
"960",33521,"<=50K"
"961",33522,"<=50K"
"962",33523,"<=50K"
"963",33524,"<=50K"
"964",33525,"<=50K"
"965",33526,">50K"
"966",33527,"<=50K"
"967",33528,"<=50K"
"968",33529,"<=50K"
"969",33530,"<=50K"
"970",33531,"<=50K"
"971",33532,"<=50K"
"972",33533,">50K"
"973",33534,"<=50K"
"974",33535,"<=50K"
"975",33536,"<=50K"
"976",33537,"<=50K"
"977",33538,"<=50K"
"978",33539,"<=50K"
"979",33540,"<=50K"
"980",33541,"<=50K"
"981",33542,">50K"
"982",33543,"<=50K"
"983",33544,"<=50K"
"984",33545,"<=50K"
"985",33546,">50K"
"986",33547,"<=50K"
"987",33548,">50K"
"988",33549,"<=50K"
"989",33550,"<=50K"
"990",33551,"<=50K"
"991",33552,">50K"
"992",33553,">50K"
"993",33554,">50K"
"994",33555,">50K"
"995",33556,"<=50K"
"996",33557,"<=50K"
"997",33558,"<=50K"
"998",33559,"<=50K"
"999",33560,">50K"
"1000",33561,"<=50K"
"1001",33562,"<=50K"
"1002",33563,"<=50K"
"1003",33564,"<=50K"
"1004",33565,"<=50K"
"1005",33566,"<=50K"
"1006",33567,"<=50K"
"1007",33568,"<=50K"
"1008",33569,"<=50K"
"1009",33570,">50K"
"1010",33571,"<=50K"
"1011",33572,"<=50K"
"1012",33573,"<=50K"
"1013",33574,"<=50K"
"1014",33575,"<=50K"
"1015",33576,"<=50K"
"1016",33577,">50K"
"1017",33578,">50K"
"1018",33579,"<=50K"
"1019",33580,"<=50K"
"1020",33581,"<=50K"
"1021",33582,">50K"
"1022",33583,"<=50K"
"1023",33584,"<=50K"
"1024",33585,"<=50K"
"1025",33586,"<=50K"
"1026",33587,">50K"
"1027",33588,"<=50K"
"1028",33589,">50K"
"1029",33590,"<=50K"
"1030",33591,"<=50K"
"1031",33592,"<=50K"
"1032",33593,"<=50K"
"1033",33594,"<=50K"
"1034",33595,">50K"
"1035",33596,"<=50K"
"1036",33597,"<=50K"
"1037",33598,"<=50K"
"1038",33599,"<=50K"
"1039",33600,"<=50K"
"1040",33601,"<=50K"
"1041",33602,">50K"
"1042",33603,"<=50K"
"1043",33604,"<=50K"
"1044",33605,"<=50K"
"1045",33606,"<=50K"
"1046",33607,">50K"
"1047",33608,"<=50K"
"1048",33609,"<=50K"
"1049",33610,"<=50K"
"1050",33611,"<=50K"
"1051",33612,">50K"
"1052",33613,"<=50K"
"1053",33614,">50K"
"1054",33615,"<=50K"
"1055",33616,"<=50K"
"1056",33617,">50K"
"1057",33618,"<=50K"
"1058",33619,"<=50K"
"1059",33620,"<=50K"
"1060",33621,"<=50K"
"1061",33622,"<=50K"
"1062",33623,"<=50K"
"1063",33624,"<=50K"
"1064",33625,"<=50K"
"1065",33626,"<=50K"
"1066",33627,"<=50K"
"1067",33628,"<=50K"
"1068",33629,"<=50K"
"1069",33630,">50K"
"1070",33631,">50K"
"1071",33632,"<=50K"
"1072",33633,"<=50K"
"1073",33634,"<=50K"
"1074",33635,"<=50K"
"1075",33636,">50K"
"1076",33637,">50K"
"1077",33638,"<=50K"
"1078",33639,"<=50K"
"1079",33640,">50K"
"1080",33641,"<=50K"
"1081",33642,"<=50K"
"1082",33643,"<=50K"
"1083",33644,">50K"
"1084",33645,"<=50K"
"1085",33646,"<=50K"
"1086",33647,"<=50K"
"1087",33648,">50K"
"1088",33649,"<=50K"
"1089",33650,"<=50K"
"1090",33651,">50K"
"1091",33652,">50K"
"1092",33653,"<=50K"
"1093",33654,"<=50K"
"1094",33655,"<=50K"
"1095",33656,"<=50K"
"1096",33657,"<=50K"
"1097",33658,">50K"
"1098",33659,">50K"
"1099",33660,"<=50K"
